client,sqkm_id,latitude,longitude,income
Cliente 69,564,4.69200876,-74.10978217,254010.818
Cliente 129,680,4.73576439,-74.09719902,129113.985
Cliente 161,336,4.6045354,-74.08465272,1432781.58
Cliente 179,336,4.60355958,-74.0842305,776617.024
Cliente 182,337,4.60627399,-74.08387465,566386.037
Cliente 198,337,4.60418832,-74.08410417,89738.7643
Cliente 232,324,4.59976469,-74.19262454,20367620
Cliente 234,238,4.5618021,-74.14000015,510281.404
Cliente 239,103,4.5096442,-74.1139435,423357.27
Cliente 245,348,4.6102541,-74.18619919,3093642.31
Cliente 252,334,4.60483187,-74.10438895,359443.749
Cliente 275,324,4.59965164,-74.19764341,509465.395
Cliente 284,266,4.57234294,-74.09620237,335318.73
Cliente 293,240,4.56537971,-74.12761745,792861.556
Cliente 296,195,4.54816382,-74.11339016,210615.744
Cliente 334,288,4.58219557,-74.10348709,108980.202
Cliente 359,398,4.63106999,-74.15494527,138445.11
Cliente 360,398,4.63106999,-74.15494527,347910.234
Cliente 369,398,4.63106999,-74.15494527,79696.049
Cliente 373,398,4.63106999,-74.15494527,2072049.29
Cliente 408,358,4.61005967,-74.09628368,95064.6283
Cliente 421,398,4.63106999,-74.15494527,300589.207
Cliente 447,564,4.69220441,-74.10217105,936429.834
Cliente 460,398,4.63106999,-74.15494527,116897.254
Cliente 478,476,4.65653321,-74.06987144,119854.565
Cliente 480,477,4.65208465,-74.06300482,361089.898
Cliente 481,565,4.68858347,-74.09795588,1630483.93
Cliente 521,609,4.71348036,-74.11826915,1041223.17
Cliente 554,564,4.68817295,-74.10855549,119135.195
Cliente 579,658,4.72633105,-74.09052777,505630.396
Cliente 590,514,4.67630856,-74.14476421,3457241.17
Cliente 591,564,4.69327878,-74.10377827,2970626.03
Cliente 624,398,4.63106999,-74.15494527,58042.2448
Cliente 642,398,4.63106999,-74.15494527,200167.441
Cliente 661,398,4.63106999,-74.15494527,44293.7664
Cliente 816,398,4.63106999,-74.15494527,106409.805
Cliente 821,398,4.63106999,-74.15494527,680171.395
Cliente 822,398,4.63106999,-74.15494527,1192798.31
Cliente 842,398,4.63106999,-74.15494527,8570656.68
Cliente 851,398,4.63106999,-74.15494527,9702561.3
Cliente 857,398,4.63106999,-74.15494527,2440052.43
Cliente 861,398,4.63106999,-74.15494527,584260.173
Cliente 877,398,4.63106999,-74.15494527,78905.6436
Cliente 889,398,4.63106999,-74.15494527,289704.093
Cliente 916,398,4.63106999,-74.15494527,353669.416
Cliente 1219,337,4.60627399,-74.08387465,23128167.2
Cliente 1255,336,4.60434506,-74.0843519,343278.961
Cliente 1283,337,4.60395983,-74.08374922,139968.15
Cliente 1287,337,4.60627399,-74.08387465,613997.804
Cliente 1288,336,4.60434023,-74.0846146,6323748.73
Cliente 1307,337,4.60627399,-74.08387465,212183.467
Cliente 1311,336,4.60574193,-74.0842275,3447305.57
Cliente 1322,336,4.60422191,-74.08415725,6338359.57
Cliente 1330,359,4.61389032,-74.0857101,850964.07
Cliente 1334,336,4.60420587,-74.08440226,1893232.99
Cliente 1345,336,4.60459138,-74.08474119,14823475.9
Cliente 1431,541,4.6820684,-74.10633626,368491.537
Cliente 1872,561,4.69262786,-74.13424353,149366.979
Cliente 1890,679,4.73400399,-74.10254039,836554.937
Cliente 1903,756,4.76464867,-74.03675522,422787.257
Cliente 1947,686,4.74158986,-74.04333763,261715.601
Cliente 1980,543,4.68639992,-74.09056024,584690.885
Cliente 2121,337,4.60152223,-74.07832635,512951.071
Cliente 2168,237,4.56963432,-74.15085474,300913.48
Cliente 2187,244,4.56437949,-74.09207599,449449.163
Cliente 2204,307,4.59450654,-74.13928937,1255244.13
Cliente 2222,313,4.59372972,-74.09034708,337391.485
Cliente 2297,307,4.59081124,-74.13993055,456643.969
Cliente 2301,402,4.62461618,-74.11463458,53261.6106
Cliente 2306,420,4.64060338,-74.16127492,411973.15
Cliente 2307,373,4.61721857,-74.17212387,1979212.08
Cliente 2311,373,4.62318815,-74.17044572,1064835.88
Cliente 2317,420,4.63959897,-74.16009577,165880.159
Cliente 2328,307,4.58913506,-74.13844375,292419.664
Cliente 2336,196,4.54642137,-74.1071002,323781.097
Cliente 2343,349,4.60893765,-74.18242797,6489338.46
Cliente 2348,702,4.7451901,-74.10802035,262001.964
Cliente 2361,308,4.59484954,-74.13078245,1304895.22
Cliente 2363,314,4.59185776,-74.07792234,615384.258
Cliente 2367,383,4.62159434,-74.08039031,3554794.2
Cliente 2368,350,4.61080336,-74.17407332,1086832.6
Cliente 2370,354,4.6124199,-74.13762844,1018989.09
Cliente 2381,543,4.68120471,-74.08892111,3395596.01
Cliente 2390,357,4.61437555,-74.10249484,97917.5061
